,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
30,Agente,EPMC,987714.57,940980.29,919993.69,918061.19,959480.58,1033517.48,1074365.12,1162342.36,1266345.44,1338566.33,1389344.53,1428961.19,1419340.83,1376506.03,1347133.78,1323647.29,1306933.43,1316635.59,1425842.23,1407276.75,1366171.45,1230790.68,1123825.19,1036178.72,2015-01-31
31,Agente,EPMC,955043.38,896645.28,873632.24,859138.42,857582.98,863360.37,868253.01,928734.04,1005695.69,1064053.46,1129907.7,1150292.44,1164053.91,1143592.6,1114012.39,1110587.06,1084197.64,1093099.31,1231536.53,1273583.45,1237556.33,1141227.65,1046295.11,998107.47,2015-02-01
32,Agente,EPMC,924605.78,887775.09,888474.21,886927.04,976129.19,1123496.05,1154706.84,1283016.16,1360486.2,1390252.39,1486417.95,1502016.81,1479732.5,1480175.17,1486701.36,1479885.47,1477772.09,1439286.21,1534997.33,1558209.27,1478168.45,1353107.78,1179564.13,1083294.55,2015-02-02
33,Agente,EPMC,1009498.15,945850.84,933297.5,955803.7,1005541.02,1142969.08,1260069.0,1319902.89,1403116.29,1440328.57,1500739.23,1518750.31,1503162.14,1467590.98,1476801.73,1468493.41,1452735.08,1424748.0,1519058.91,1539867.83,1444898.4,1313807.61,1148617.24,1027101.82,2015-02-03
34,Agente,EPMC,977878.34,936733.68,948462.39,939746.07,1035268.33,1168773.97,1250756.52,1288577.08,1361551.71,1431919.78,1499446.06,1523185.63,1478249.38,1463373.5,1462085.75,1476039.77,1470249.9,1431083.44,1534382.44,1533350.14,1450790.5,1318277.12,1186420.39,1023716.52,2015-02-04
35,Agente,EPMC,973292.54,954328.66,949802.02,971878.61,1056874.84,1185150.23,1243592.84,1320164.77,1379019.51,1423224.07,1485577.74,1522293.58,1481196.82,1453017.56,1479429.44,1473752.62,1452243.43,1465360.87,1559498.22,1550060.4,1473849.74,1298683.82,1165831.08,1030790.92,2015-02-05
36,Agente,EPMC,971638.06,961514.79,952889.69,960737.27,1046323.24,1188720.99,1291450.31,1356012.37,1409999.51,1467526.86,1510264.92,1500693.1,1457102.45,1445513.71,1445019.56,1431061.12,1408847.9,1412164.36,1506456.09,1486825.89,1400996.77,1270646.86,1124691.48,1041353.91,2015-02-06
37,Agente,EPMC,1001559.15,932663.12,932441.96,929503.71,967042.54,1042175.8,1109340.72,1215982.99,1295788.41,1364505.68,1402872.42,1443634.89,1429870.04,1366244.11,1336953.24,1306080.06,1302842.85,1298876.06,1389088.94,1409378.9,1342112.76,1210230.87,1080588.12,947163.87,2015-02-07
38,Agente,EPMC,937251.01,882769.47,859450.5,837622.59,850521.52,866444.54,886682.5,948125.44,1023369.85,1075937.3,1118267.55,1154739.78,1165785.72,1151944.61,1119020.05,1091067.74,1092520.1,1104920.14,1238762.81,1258805.31,1227156.82,1122220.72,1009716.89,1006114.77,2015-02-08
39,Agente,EPMC,889477.26,871607.12,860496.35,876150.83,987205.05,1126868.6,1202472.54,1274558.2,1305694.08,1360789.86,1461036.63,1500732.41,1463606.08,1435213.98,1447210.05,1452638.4,1442466.25,1436452.74,1508101.95,1557693.82,1448437.04,1265685.61,1103028.54,994289.9,2015-02-09
40,Agente,EPMC,967421.65,953148.19,925725.35,939580.09,987756.28,1149174.48,1242742.11,1330414.45,1383263.12,1428597.75,1495235.41,1517834.63,1485853.11,1469162.4,1480982.58,1483600.34,1466000.09,1457622.27,1527959.66,1539418.41,1469091.01,1314429.24,1160014.47,1058459.3,2015-02-10
41,Agente,EPMC,997460.55,943304.58,946921.67,964299.27,1026023.19,1188738.5,1259421.8,1336662.37,1377179.61,1417427.97,1487298.56,1525206.19,1461868.27,1438132.15,1432308.67,1437924.73,1420616.52,1403162.8,1513754.27,1537723.86,1458742.93,1293715.24,1173885.23,1054518.44,2015-02-11
42,Agente,EPMC,978190.97,937104.05,927894.62,958089.67,1025698.69,1140164.22,1246572.62,1331826.51,1383010.84,1431051.41,1485021.3,1500796.69,1474030.11,1456583.96,1460325.6,1456240.05,1448391.12,1431964.1,1547616.29,1522010.48,1468118.99,1323762.52,1181899.44,1045277.43,2015-02-12
