fecha,region,consumo,mes,dia_semana,fin_de_semana,temperatura
2018-06-21,Antioquia,26.93755485,6,4,0,21.224999999999998
2018-06-22,Antioquia,27.24260283,6,5,0,20.977083333333333
2018-06-23,Antioquia,25.24110603,6,6,1,20.452083333333334
2018-06-24,Antioquia,21.28016241,6,7,1,20.047916666666666
2018-06-25,Antioquia,26.4531429399999,6,1,0,20.820833333333333
2018-06-26,Antioquia,27.06759932,6,2,0,19.427083333333332
2018-06-27,Antioquia,26.97612088,6,3,0,19.454166666666666
2018-06-28,Antioquia,26.8527318,6,4,0,19.329166666666666
2018-06-29,Antioquia,26.44737234,6,5,0,19.347916666666666
2018-06-30,Antioquia,24.6592145,6,6,1,18.900000000000002
2018-07-01,Antioquia,20.90423912,7,7,1,20.214583333333334
2018-07-02,Antioquia,21.16488401,7,1,0,19.210416666666667
2018-07-03,Antioquia,25.29167304,7,2,0,19.277083333333334
2018-07-04,Antioquia,26.90780249,7,3,0,21.40833333333333
2018-07-05,Antioquia,27.40541441,7,4,0,21.733333333333334
2018-07-06,Antioquia,27.47237009,7,5,0,21.075
2018-07-07,Antioquia,25.49479852,7,6,1,21.220833333333335
2018-07-08,Antioquia,22.28164375,7,7,1,21.945833333333336
2018-07-09,Antioquia,27.42638077,7,1,0,21.852083333333336
2018-07-10,Antioquia,27.79581489,7,2,0,21.662499999999998
2018-07-11,Antioquia,27.64292376,7,3,0,21.849999999999998
2018-07-12,Antioquia,27.77381953,7,4,0,21.943749999999998
2018-07-13,Antioquia,27.86628239,7,5,0,22.3
2018-07-14,Antioquia,26.20699508,7,6,1,22.34166666666667
2018-07-15,Antioquia,22.49391429,7,7,1,22.010416666666668
2018-07-16,Antioquia,27.21951166,7,1,0,21.902083333333334
2018-07-17,Antioquia,27.59793874,7,2,0,21.310416666666665
2018-07-18,Antioquia,27.6474361,7,3,0,21.2
2018-07-19,Antioquia,27.836858,7,4,0,21.758333333333336
2018-07-20,Antioquia,23.8322588,7,5,0,20.366666666666667
2018-07-21,Antioquia,24.3556128,7,6,1,18.688888888888886
2018-07-22,Antioquia,21.87754939,7,7,1,19.854166666666668
2018-07-23,Antioquia,27.25540564,7,1,0,19.241666666666667
2018-07-24,Antioquia,27.50692679,7,2,0,19.125
2018-07-25,Antioquia,27.64601577,7,3,0,19.4375
2018-07-26,Antioquia,27.74323102,7,4,0,18.608333333333334
2018-07-27,Antioquia,27.02933148,7,5,0,18.295833333333334
2018-07-28,Antioquia,25.32073335,7,6,1,18.491666666666667
2018-07-29,Antioquia,22.10174371,7,7,1,19.279166666666665
2018-07-30,Antioquia,26.71897191,7,1,0,17.704166666666666
2018-07-31,Antioquia,26.95856456,7,2,0,17.091666666666665
2018-08-01,Antioquia,27.14694364,8,3,0,19.004166666666666
2018-08-02,Antioquia,27.33447693,8,4,0,19.1375
2018-08-03,Antioquia,27.17526557,8,5,0,18.099999999999998
2018-08-04,Antioquia,25.02013847,8,6,1,18.354166666666668
2018-08-05,Antioquia,21.30439727,8,7,1,17.33030303030303
2018-08-06,Antioquia,25.55187591,8,1,0,20.564583333333335
2018-08-07,Antioquia,23.2460265,8,2,0,21.9875
2018-08-08,Antioquia,27.42106952,8,3,0,22.09166666666667
2018-08-09,Antioquia,27.88909986,8,4,0,22.477083333333336
2018-08-10,Antioquia,27.58714881,8,5,0,21.84583333333333
2018-08-11,Antioquia,25.67746736,8,6,1,21.75208333333333
2018-08-12,Antioquia,22.47150386,8,7,1,20.58857142857143
2018-08-13,Antioquia,27.48013958,8,1,0,20.379166666666666
2018-08-14,Antioquia,27.46054601,8,2,0,15.9375
2018-08-15,Antioquia,27.01994876,8,3,0,17.775000000000002
2018-08-16,Antioquia,27.43673149,8,4,0,19.454166666666666
2018-08-17,Antioquia,27.86761765,8,5,0,21.454545454545453
2018-08-18,Antioquia,25.76871855,8,6,1,21.566666666666666
2018-08-19,Antioquia,21.71612322,8,7,1,21.15625
2018-08-20,Antioquia,22.36270783,8,1,0,22.05
2018-08-21,Antioquia,27.62798024,8,2,0,22.15833333333333
2018-08-22,Antioquia,28.04568267,8,3,0,22.59375
2018-08-23,Antioquia,28.06568026,8,4,0,21.760416666666668
2018-08-24,Antioquia,28.01769675,8,5,0,20.908333333333335
2018-08-25,Antioquia,26.1844085200001,8,6,1,22.50208333333333
2018-08-26,Antioquia,22.39309997,8,7,1,21.5625
2018-08-27,Antioquia,27.36949899,8,1,0,20.51875
2018-08-28,Antioquia,28.09487627,8,2,0,21.316666666666666
2018-08-29,Antioquia,28.10479847,8,3,0,21.568749999999998
2018-08-30,Antioquia,27.90969797,8,4,0,20.85625
2018-08-31,Antioquia,27.96634472,8,5,0,21.802083333333332
2018-09-01,Antioquia,25.86487364,9,6,1,22.06041666666667
2018-09-02,Antioquia,22.3298751,9,7,1,21.962500000000002
2018-09-03,Antioquia,27.41786423,9,1,0,20.683333333333334
2018-09-04,Antioquia,27.29651555,9,2,0,18.083333333333332
2018-09-05,Antioquia,27.36796921,9,3,0,18.6875
2018-09-06,Antioquia,27.20136523,9,4,0,19.145833333333332
2018-09-07,Antioquia,27.33844629,9,5,0,19.150000000000002
2018-09-08,Antioquia,25.66822445,9,6,1,20.564583333333335
2018-09-09,Antioquia,22.32559847,9,7,1,21.21875
2018-09-10,Antioquia,27.26504977,9,1,0,21.72083333333333
2018-09-11,Antioquia,27.75852811,9,2,0,21.368750000000002
2018-09-12,Antioquia,27.56185055,9,3,0,19.654166666666665
2018-09-13,Antioquia,27.08145706,9,4,0,18.404166666666665
2018-09-14,Antioquia,26.92764366,9,5,0,19.635416666666668
2018-09-15,Antioquia,25.0948909,9,6,1,18.256249999999998
2018-09-16,Antioquia,21.16956538,9,7,1,17.791666666666668
2018-09-17,Antioquia,26.57125373,9,1,0,20.591666666666665
2018-09-18,Antioquia,27.72972258,9,2,0,20.883333333333333
